13,293
25,273
38,257
50,251
62,248
75,243
87,243
100,246
112,245
125,208
149,235
162,540
174,540
187,539
199,283
224,266
237,226
249,229
261,238
274,242
286,246
299,247
311,250
324,257
336,262
348,269
361,277
373,285
386,296
398,309
411,316
423,320
436,320
448,317
461,307
473,293
485,276
498,261
510,244
523,233
535,230
548,226
560,225
572,229
585,228
597,229
610,231
622,233
635,233
647,237
660,236
672,236
684,235
697,235
709,237
722,231
734,235
747,232
759,229
772,226
784,226
796,225
809,224
821,226
834,228
846,229
859,228
871,227
884,228
896,231
909,231
921,232
933,231
946,231
958,236
971,236
983,235
996,236
1008,237
1021,234
1033,239
1046,241
1058,240
1070,244
1083,243
1095,241
1108,246
1120,246
1133,243
1145,246
1158,258
1170,250
1182,265
1195,255
1207,243
1220,245
1232,246
1245,246
1257,246
1270,248
1282,247
1295,225
1320,204
1332,541
1344,540
1357,540
1369,411
1394,245
1407,238
1419,226
1432,242
1444,242
1456,245
1469,254
1481,255
1494,259
1506,261
1519,266
1531,275
1544,284
1556,289
1569,298
1581,311
1594,312
1606,314
1619,311
1631,303
1643,292
1656,278
1668,262
1681,248
1693,232
1706,222
1718,221
1731,221
1743,220
1756,222
1768,223
1781,227
1793,229
1806,229
1818,229
1830,234
1843,230
1855,230
1868,228
1880,226
1893,227
1905,225
1918,225
1930,225
1943,228
1955,229
1968,229
1980,235
1993,234
2005,233
2017,232
2030,232
2042,231
2055,235
2067,233
2080,234
2092,237
2105,237
2117,241
2130,241
2142,240
2155,241
2167,243
2180,243
2192,243
2205,242
2217,243
2230,244
2242,246
2255,247
2267,250
2280,248
2292,247
2305,247
2317,248
2329,253
2342,252
2354,260
2367,268
2379,259
2392,270
2404,255
2417,244
2429,244
2442,244
2454,244
2467,243
2479,242
2492,244
2504,232
2517,119
2529,147
2542,401
2554,541
2567,540
2579,540
2604,144
2616,250
2629,207
2641,225
2654,231
2666,235
2679,240
2691,241
2704,245
2716,252
2729,255
2741,260
2753,267
2766,275
2778,286
2791,296
2803,303
2816,307
2828,304
2841,300
2853,291
2866,281
2878,267
2891,253
2903,241
2916,230
2928,226
2941,225
2953,228
2966,229
2978,229
2990,227
3003,231
3015,231
3028,233
3040,231
3053,232
3065,232
3078,231
3090,229
3103,231
3115,227
3128,229
3140,226
3153,226
3165,226
3178,223
3190,223
3203,227
3216,229
3228,224
3241,222
